t_dat,customer_id,article_id,price,sales_channel_id
2019-09-23,0008804a45e7fbc8653ba8f5ce15880cb966ca220c52d2f8dcdeb954891277a7,743722002,0.0169322033898305,2
2019-09-23,0008804a45e7fbc8653ba8f5ce15880cb966ca220c52d2f8dcdeb954891277a7,768503001,0.0203220338983051,2
2019-09-23,0008804a45e7fbc8653ba8f5ce15880cb966ca220c52d2f8dcdeb954891277a7,753061003,0.0101525423728814,2
2019-09-23,0008804a45e7fbc8653ba8f5ce15880cb966ca220c52d2f8dcdeb954891277a7,748140001,0.0152372881355932,2
2019-09-23,0008804a45e7fbc8653ba8f5ce15880cb966ca220c52d2f8dcdeb954891277a7,748140001,0.0152372881355932,2
2019-09-23,0008804a45e7fbc8653ba8f5ce15880cb966ca220c52d2f8dcdeb954891277a7,730135004,0.0220169491525424,2
2019-09-23,0008804a45e7fbc8653ba8f5ce15880cb966ca220c52d2f8dcdeb954891277a7,730135004,0.0220169491525424,2
2019-09-23,0008804a45e7fbc8653ba8f5ce15880cb966ca220c52d2f8dcdeb954891277a7,761533001,0.0135423728813559,2
2019-09-23,0008804a45e7fbc8653ba8f5ce15880cb966ca220c52d2f8dcdeb954891277a7,761533001,0.0135423728813559,2
2019-09-23,0008804a45e7fbc8653ba8f5ce15880cb966ca220c52d2f8dcdeb954891277a7,581298005,0.0101525423728814,2
2019-09-23,0008804a45e7fbc8653ba8f5ce15880cb966ca220c52d2f8dcdeb954891277a7,581298005,0.0101525423728814,2
2019-09-23,0008804a45e7fbc8653ba8f5ce15880cb966ca220c52d2f8dcdeb954891277a7,648300002,0.0254067796610169,2
2019-09-23,0008804a45e7fbc8653ba8f5ce15880cb966ca220c52d2f8dcdeb954891277a7,771871001,0.0203220338983051,2
2019-09-23,0008804a45e7fbc8653ba8f5ce15880cb966ca220c52d2f8dcdeb954891277a7,771871001,0.0203220338983051,2
2019-09-23,0008804a45e7fbc8653ba8f5ce15880cb966ca220c52d2f8dcdeb954891277a7,609598006,0.0220169491525424,2
2019-09-23,0008804a45e7fbc8653ba8f5ce15880cb966ca220c52d2f8dcdeb954891277a7,609598006,0.0220169491525424,2
